city,location,developer,down_payment_pct,installment_years,plan_summary
Karachi,Mehmoodabad,Mehmoodabad Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Mehmoodabad Developers Pvt. Ltd.."
Lahore,Valencia Housing Society,Valencia Housing Society Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through Valencia Housing Society Developers Pvt. Ltd.."
Islamabad,Kashmir Highway,Kashmir Highway Developers Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through Kashmir Highway Developers Pvt. Ltd.."
Lahore,Hassan Town,Hassan Town Developers Pvt. Ltd.,10,5,"10% down payment, remaining balance in 5-year quarterly installments through Hassan Town Developers Pvt. Ltd.."
Karachi,Punjab Colony,Punjab Colony Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Punjab Colony Developers Pvt. Ltd.."
Lahore,Cantt,Cantt Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Cantt Developers Pvt. Ltd.."
Karachi,Khayaban-e-Ittehad Road,Khayaban-e-Ittehad Road Developers Pvt. Ltd.,20,2,"20% down payment, remaining balance in 2-year quarterly installments through Khayaban-e-Ittehad Road Developers Pvt. Ltd.."
Rawalpindi,Gulzar-e-Quaid Housing Society,Gulzar-e-Quaid Housing Society Developers Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through Gulzar-e-Quaid Housing Society Developers Pvt. Ltd.."
Rawalpindi,New Lalazar,New Lalazar Developers Pvt. Ltd.,20,2,"20% down payment, remaining balance in 2-year quarterly installments through New Lalazar Developers Pvt. Ltd.."
Karachi,Khalid Bin Walid Road,Khalid Bin Walid Road Developers Pvt. Ltd.,20,3,"20% down payment, remaining balance in 3-year quarterly installments through Khalid Bin Walid Road Developers Pvt. Ltd.."
Islamabad,Islamabad Highway,Islamabad Highway Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Islamabad Highway Developers Pvt. Ltd.."
Faisalabad,Al Noor Garden,Al Noor Garden Developers Pvt. Ltd.,20,5,"20% down payment, remaining balance in 5-year quarterly installments through Al Noor Garden Developers Pvt. Ltd.."
Lahore,Upper Mall,Upper Mall Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Upper Mall Developers Pvt. Ltd.."
Islamabad,Margalla Town,Margalla Town Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through Margalla Town Developers Pvt. Ltd.."
Faisalabad,Ayub Colony,Ayub Colony Developers Pvt. Ltd.,15,2,"15% down payment, remaining balance in 2-year quarterly installments through Ayub Colony Developers Pvt. Ltd.."
Karachi,Sindh Industrial Trading Estate (SITE),Sindh Industrial Trading Estate (SITE) Developers Pvt. Ltd.,10,3,"10% down payment, remaining balance in 3-year quarterly installments through Sindh Industrial Trading Estate (SITE) Developers Pvt. Ltd.."
Rawalpindi,Media Town,Media Town Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Media Town Developers Pvt. Ltd.."
Rawalpindi,Muslim Town,Muslim Town Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Muslim Town Developers Pvt. Ltd.."
Lahore,Gulshan-e-Ravi,Gulshan-e-Ravi Developers Pvt. Ltd.,20,5,"20% down payment, remaining balance in 5-year quarterly installments through Gulshan-e-Ravi Developers Pvt. Ltd.."
Lahore,Al-Raziq Garden,Al-Raziq Garden Developers Pvt. Ltd.,25,5,"25% down payment, remaining balance in 5-year quarterly installments through Al-Raziq Garden Developers Pvt. Ltd.."
Lahore,Mateen Avenue,Mateen Avenue Developers Pvt. Ltd.,20,3,"20% down payment, remaining balance in 3-year quarterly installments through Mateen Avenue Developers Pvt. Ltd.."
Lahore,Sami Town,Sami Town Developers Pvt. Ltd.,10,5,"10% down payment, remaining balance in 5-year quarterly installments through Sami Town Developers Pvt. Ltd.."
Lahore,Ghous Garden,Ghous Garden Developers Pvt. Ltd.,20,2,"20% down payment, remaining balance in 2-year quarterly installments through Ghous Garden Developers Pvt. Ltd.."
Lahore,Ittifaq Town,Ittifaq Town Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Ittifaq Town Developers Pvt. Ltd.."
Faisalabad,Makkah Garden,Makkah Garden Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through Makkah Garden Developers Pvt. Ltd.."
Lahore,Nawab Town,Nawab Town Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Nawab Town Developers Pvt. Ltd.."
Lahore,Islamia Park,Islamia Park Developers Pvt. Ltd.,20,5,"20% down payment, remaining balance in 5-year quarterly installments through Islamia Park Developers Pvt. Ltd.."
Islamabad,G-10,G-10 Developers Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through G-10 Developers Pvt. Ltd.."
Rawalpindi,Dhok Sayedan Road,Dhok Sayedan Road Developers Pvt. Ltd.,10,4,"10% down payment, remaining balance in 4-year quarterly installments through Dhok Sayedan Road Developers Pvt. Ltd.."
Lahore,Abdul Sattar Edhi Road,Abdul Sattar Edhi Road Developers Pvt. Ltd.,25,3,"25% down payment, remaining balance in 3-year quarterly installments through Abdul Sattar Edhi Road Developers Pvt. Ltd.."
Lahore,Lahore Medical Housing Society,Lahore Medical Housing Society Developers Pvt. Ltd.,25,4,"25% down payment, remaining balance in 4-year quarterly installments through Lahore Medical Housing Society Developers Pvt. Ltd.."
Faisalabad,Eden Gardens,Eden Gardens Developers Pvt. Ltd.,10,2,"10% down payment, remaining balance in 2-year quarterly installments through Eden Gardens Developers Pvt. Ltd.."
Islamabad,Jhangi Syedan,Jhangi Syedan Developers Pvt. Ltd.,10,4,"10% down payment, remaining balance in 4-year quarterly installments through Jhangi Syedan Developers Pvt. Ltd.."
Lahore,Mughalpura,Mughalpura Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Mughalpura Developers Pvt. Ltd.."
Lahore,Tricon Village,Tricon Village Developers Pvt. Ltd.,15,5,"15% down payment, remaining balance in 5-year quarterly installments through Tricon Village Developers Pvt. Ltd.."
Rawalpindi,Holy Family Road,Holy Family Road Developers Pvt. Ltd.,20,5,"20% down payment, remaining balance in 5-year quarterly installments through Holy Family Road Developers Pvt. Ltd.."
Lahore,Kahna,Kahna Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Kahna Developers Pvt. Ltd.."
Faisalabad,Jhang Road,Jhang Road Developers Pvt. Ltd.,20,3,"20% down payment, remaining balance in 3-year quarterly installments through Jhang Road Developers Pvt. Ltd.."
Islamabad,Madina Town,Madina Town Developers Pvt. Ltd.,25,2,"25% down payment, remaining balance in 2-year quarterly installments through Madina Town Developers Pvt. Ltd.."
Lahore,Allama Iqbal Road,Allama Iqbal Road Developers Pvt. Ltd.,15,4,"15% down payment, remaining balance in 4-year quarterly installments through Allama Iqbal Road Developers Pvt. Ltd.."
Rawalpindi,Farooq-e-Azam Road,Farooq-e-Azam Road Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Farooq-e-Azam Road Developers Pvt. Ltd.."
Lahore,Tajpura,Tajpura Developers Pvt. Ltd.,10,4,"10% down payment, remaining balance in 4-year quarterly installments through Tajpura Developers Pvt. Ltd.."
Karachi,New Karachi,New Karachi Developers Pvt. Ltd.,25,5,"25% down payment, remaining balance in 5-year quarterly installments through New Karachi Developers Pvt. Ltd.."
Karachi,Orangi Town,Orangi Town Developers Pvt. Ltd.,15,2,"15% down payment, remaining balance in 2-year quarterly installments through Orangi Town Developers Pvt. Ltd.."
Karachi,KDA Scheme 1,KDA Scheme 1 Developers Pvt. Ltd.,10,3,"10% down payment, remaining balance in 3-year quarterly installments through KDA Scheme 1 Developers Pvt. Ltd.."
Lahore,Township,Township Developers Pvt. Ltd.,20,4,"20% down payment, remaining balance in 4-year quarterly installments through Township Developers Pvt. Ltd.."
